area_type,total_sqft,bath,price,bhk,Electronic City,Hebbal,Kanakpura Road,Marathahalli,Raja Rajeshwari Nagar,Sarjapur  Road,Thanisandra,Uttarahalli,Whitefield,Yelahanka,other
2.0,1025.0,2,47.0,3,1,0,0,0,0,0,0,0,0,0,0
2.0,1500.0,2,64.5,3,1,0,0,0,0,0,0,0,0,0,0
0.0,1060.0,2,60.0,2,1,0,0,0,0,0,0,0,0,0,0
2.0,1152.0,2,64.5,2,1,0,0,0,0,0,0,0,0,0,0
0.0,770.0,1,36.0,2,1,0,0,0,0,0,0,0,0,0,0
2.0,1070.0,2,52.0,2,1,0,0,0,0,0,0,0,0,0,0
0.0,1025.0,2,46.0,2,1,0,0,0,0,0,0,0,0,0,0
2.0,589.0,1,27.0,1,1,0,0,0,0,0,0,0,0,0,0
2.0,910.0,2,40.0,2,1,0,0,0,0,0,0,0,0,0,0
2.0,1108.0,2,63.0,2,1,0,0,0,0,0,0,0,0,0,0
2.0,1128.0,2,65.0,2,1,0,0,0,0,0,0,0,0,0,0
2.0,1800.0,3,95.0,3,1,0,0,0,0,0,0,0,0,0,0
0.0,630.0,1,34.65,1,1,0,0,0,0,0,0,0,0,0,0
2.0,1128.0,2,63.0,2,1,0,0,0,0,0,0,0,0,0,0
2.0,1599.0,3,99.0,3,1,0,0,0,0,0,0,0,0,0,0
2.0,1070.0,2,55.0,2,1,0,0,0,0,0,0,0,0,0,0
2.0,940.0,2,41.0,2,1,0,0,0,0,0,0,0,0,0,0
2.0,1128.0,2,68.75,2,1,0,0,0,0,0,0,0,0,0,0
2.0,1342.0,2,73.3,2,1,0,0,0,0,0,0,0,0,0,0
2.0,1360.0,2,71.0,3,1,0,0,0,0,0,0,0,0,0,0
2.0,1265.0,2,56.93,2,1,0,0,0,0,0,0,0,0,0,0
2.0,1691.0,2,102.0,3,1,0,0,0,0,0,0,0,0,0,0
2.0,1128.0,2,65.49,2,1,0,0,0,0,0,0,0,0,0,0
2.0,1070.0,2,56.1,2,1,0,0,0,0,0,0,0,0,0,0
1.0,2000.0,4,120.0,4,1,0,0,0,0,0,0,0,0,0,0
0.0,890.0,2,45.0,2,1,0,0,0,0,0,0,0,0,0,0
2.0,1128.0,2,65.65,2,1,0,0,0,0,0,0,0,0,0,0
0.0,865.0,2,42.0,2,1,0,0,0,0,0,0,0,0,0,0
2.0,910.0,2,42.0,2,1,0,0,0,0,0,0,0,0,0,0
0.0,1360.0,2,75.0,3,1,0,0,0,0,0,0,0,0,0,0
2.0,770.0,1,40.0,2,1,0,0,0,0,0,0,0,0,0,0
2.0,1128.0,2,64.0,2,1,0,0,0,0,0,0,0,0,0,0
2.0,1070.0,2,54.0,2,1,0,0,0,0,0,0,0,0,0,0
2.0,1571.0,3,89.0,3,1,0,0,0,0,0,0,0,0,0,0
2.0,1111.0,3,50.0,3,1,0,0,0,0,0,0,0,0,0,0
2.0,870.0,2,39.5,2,1,0,0,0,0,0,0,0,0,0,0
2.0,1374.0,2,72.0,3,1,0,0,0,0,0,0,0,0,0,0
2.0,1128.0,2,65.35,2,1,0,0,0,0,0,0,0,0,0,0
2.0,1128.0,2,65.0,2,1,0,0,0,0,0,0,0,0,0,0
2.0,755.0,1,34.0,2,1,0,0,0,0,0,0,0,0,0,0
2.0,1563.0,3,91.84,3,1,0,0,0,0,0,0,0,0,0,0
2.0,1652.0,3,70.0,3,1,0,0,0,0,0,0,0,0,0,0
2.0,1025.0,2,54.5,2,1,0,0,0,0,0,0,0,0,0,0
2.0,1350.0,3,58.0,3,1,0,0,0,0,0,0,0,0,0,0
2.0,1700.0,3,75.0,3,1,0,0,0,0,0,0,0,0,0,0
2.0,1128.0,2,68.0,2,1,0,0,0,0,0,0,0,0,0,0
0.0,700.0,1,35.0,1,1,0,0,0,0,0,0,0,0,0,0
2.0,1360.0,2,70.5,3,1,0,0,0,0,0,0,0,0,0,0
2.0,1571.0,3,105.0,3,1,0,0,0,0,0,0,0,0,0,0
0.0,1600.0,3,104.0,3,1,0,0,0,0,0,0,0,0,0,0
0.0,1500.0,2,100.0,3,1,0,0,0,0,0,0,0,0,0,0
2.0,1152.0,2,65.0,2,1,0,0,0,0,0,0,0,0,0,0
2.0,1070.0,2,60.0,2,1,0,0,0,0,0,0,0,0,0,0
2.0,1128.0,2,65.5,2,1,0,0,0,0,0,0,0,0,0,0
2.0,1200.0,2,59.0,2,1,0,0,0,0,0,0,0,0,0,0
2.0,1152.0,2,65.75,2,1,0,0,0,0,0,0,0,0,0,0
2.0,1070.0,2,55.0,2,1,0,0,0,0,0,0,0,0,0,0
2.0,1060.0,2,58.0,2,1,0,0,0,0,0,0,0,0,0,0
2.0,1025.0,2,54.1,2,1,0,0,0,0,0,0,0,0,0,0
2.0,1500.0,2,78.0,3,1,0,0,0,0,0,0,0,0,0,0
2.0,1213.0,2,59.32,2,1,0,0,0,0,0,0,0,0,0,0
2.0,1575.0,3,90.0,3,1,0,0,0,0,0,0,0,0,0,0
0.0,435.0,1,19.5,1,1,0,0,0,0,0,0,0,0,0,0
0.0,1449.0,3,100.0,3,1,0,0,0,0,0,0,0,0,0,0
2.0,1125.0,2,58.0,2,1,0,0,0,0,0,0,0,0,0,0
2.0,1575.0,3,101.0,3,1,0,0,0,0,0,0,0,0,0,0
0.0,550.0,1,12.0,1,1,0,0,0,0,0,0,0,0,0,0
2.0,919.0,2,40.0,2,1,0,0,0,0,0,0,0,0,0,0
2.0,1500.0,2,78.25,3,1,0,0,0,0,0,0,0,0,0,0
2.0,1363.0,2,79.0,2,1,0,0,0,0,0,0,0,0,0,0
2.0,1108.0,2,67.15,2,1,0,0,0,0,0,0,0,0,0,0
2.0,1128.0,2,65.7,2,1,0,0,0,0,0,0,0,0,0,0
0.0,1060.0,2,51.0,2,1,0,0,0,0,0,0,0,0,0,0
0.0,1650.0,3,100.0,3,1,0,0,0,0,0,0,0,0,0,0
2.0,1025.0,2,49.0,2,1,0,0,0,0,0,0,0,0,0,0
2.0,1449.0,3,90.0,3,1,0,0,0,0,0,0,0,0,0,0
2.0,1070.0,2,58.0,2,1,0,0,0,0,0,0,0,0,0,0
2.0,1210.0,2,54.0,2,1,0,0,0,0,0,0,0,0,0,0
0.0,1500.0,2,75.0,3,1,0,0,0,0,0,0,0,0,0,0
2.0,1070.0,2,52.0,2,1,0,0,0,0,0,0,0,0,0,0
2.0,2435.0,4,119.0,4,1,0,0,0,0,0,0,0,0,0,0
2.0,1073.0,2,60.0,2,1,0,0,0,0,0,0,0,0,0,0
2.0,1500.0,2,78.0,3,1,0,0,0,0,0,0,0,0,0,0
2.0,1070.0,2,47.0,2,1,0,0,0,0,0,0,0,0,0,0
2.0,1296.0,2,65.0,2,1,0,0,0,0,0,0,0,0,0,0
2.0,1140.0,2,70.93,2,1,0,0,0,0,0,0,0,0,0,0
2.0,2093.0,4,104.0,4,1,0,0,0,0,0,0,0,0,0,0
2.0,1025.0,2,53.9,2,1,0,0,0,0,0,0,0,0,0,0
0.0,940.0,2,54.0,2,1,0,0,0,0,0,0,0,0,0,0
2.0,435.0,1,21.0,1,1,0,0,0,0,0,0,0,0,0,0
2.0,1500.0,2,77.5,3,1,0,0,0,0,0,0,0,0,0,0
2.0,1631.0,3,80.0,3,1,0,0,0,0,0,0,0,0,0,0
2.0,1355.0,2,67.0,2,1,0,0,0,0,0,0,0,0,0,0
2.0,435.0,1,22.0,1,1,0,0,0,0,0,0,0,0,0,0
0.0,1500.0,2,63.0,3,1,0,0,0,0,0,0,0,0,0,0
2.0,1039.0,2,50.0,2,1,0,0,0,0,0,0,0,0,0,0
2.0,770.0,1,39.9,2,1,0,0,0,0,0,0,0,0,0,0
2.0,1128.0,2,64.0,2,1,0,0,0,0,0,0,0,0,0,0
2.0,605.0,1,13.31,1,1,0,0,0,0,0,0,0,0,0,0
2.0,530.0,1,13.5,1,1,0,0,0,0,0,0,0,0,0,0
